355041	Happy birthday, Muiriel!
1388	You're just running away from life's problems.
1389	If you look at the lyrics, they don't really mean much.
1390*	There's a problem there that you don't see.
1391*	You can do it.
1392*	My physics teacher doesn't care if I skip classes.
1393*	I wish I could go to Japan.
1394*	I hate it when there are a lot of people.
1397*	I won't ask you anything else today.
1398*	It may freeze next week.
1399*	Even though he apologized, I'm still furious.
1400	The police will get you to find the bullets.
3591700*	That wasn't what I intended.
1403*	Thanks for your explanation.
2254558*	What has happened?
1407	It almost scared me not to see you online for a whole day.
2669788*	I don't understand what you mean.
1409	My computer has got to be useful for something.
1410	You wanted to tell me about freedom?
473877	If you want to hear a scary story, I'll tell you about a dream I had a few weeks ago.
1413	One can't expect everything from schools.
1414*	There are many words that I don't understand.
1420*	Can it be phrased in another way?
276369*	Who knows?
2253735*	This looks interesting.
1424	Except that here, it's not so simple.
1425*	I like candlelight.
416890*	How did you reply?
1427	No, he's not my new boyfriend.
1429	You never have class or what?!
416891*	What is the problem?
2764309*	The only thing we can do is wait.
1433*	It's not much of a surprise, is it?
1434*	I love you.
1435*	I don't like you anymore.
1437*	Congratulations!
1438*	I don't want to wait that long.
1439*	Why don't you come visit us?
1440	But the possibility seems unlikely.
1442*	I shouldn't have logged off.
1443*	I don't know what to do anymore.
1444	It is inevitable that I go to France someday, I just don't know when.
1445*	I hate chemistry.
1446*	I didn't want this to happen.
1447	You can probably guess what happens though.
1448	Next thing you know, you'll be in the papers.
416892*	What other options are there?
1412446*	I don't like traveling all that much.
276471*	Everyone has both strong and weak points.
2735714	Seriously though, episode 21 made me laugh so hard I almost cried.
1455	It only shows you're not a robot.
1458*	It's not something anyone can do.
1459*	I don't know if I still have it.
1460*	What do you think I've been doing?
1461*	Don't underestimate my power.
894773	My mother doesn't speak English very well.
1212557*	That's where the problem is.
1466	How do you find food in outer space?
1467*	All you can do is trust one another.
1468*	Everyone wants to meet you. You're famous!
416893	Why say sorry for something you haven't even done?
1422481	Foreigners are interesting, aren't they?
1473*	What keeps you up so late?
1475*	I don't have anyone who'd travel with me.
1480	Nothing is beautiful but the truth.
1481*	Tomorrow, he will land on the moon.
1069888*	I can't speak Japanese.
1483*	This is a pun.
1484*	Nobody understands me.
1485*	I learned to live without her.
1486	It's useless to keep on thinking any more.
1487*	I have too many things on my mind these days.
1488*	I just wanted to check my email.
1496*	It would take me too much time to explain to you why it's not going to work.
1497	I'm so dumb... I'm trying to explain things to you that I don't understand myself.
393061	Stop thinking of me as just an average person.
25196*	Would you like to drink anything?
1505	Who is it? "It's your mother."
1507	What's the matter? asked the little white rabbit.
1511	To tell you the truth, I am scared of heights. "You are a coward!"
1512	Trust me, he said.
1513*	This is what I was looking for! he exclaimed.
1514*	This looks pretty interesting, Hiroshi says.
1515	Their communication may be much more complex than we thought.
1516	The phone is ringing. "I'll get it."
1517	That's very nice of you, Willie answered.
508289	Thanks for the help. "Don't mention it."
1519	Someday I'll run like the wind.
1521*	Please don't cry.
1522*	Let me know if there is anything I can do.
1523	It may be that the happiness awaiting us is not at all the sort of happiness we would want.
1396362*	I want a boat that'll take me far away from here.
1527	I feel like playing cards. "So do I."
1528	Haven't we met somewhere before? asked the student.
446085	A Japanese person would never do such a thing.
1532	Communism will never be reached in my lifetime.
1535*	If you see a mistake, then please correct it.
1537	The Germans are very crafty.
731366*	If you don't eat, you'll die.
1539	How do you spell "pretty"?
380740*	Shall we go home?
1541*	I'm sorry, I can't stay long.
1543	Why aren't you going? "Because I don't want to."
1544*	One million people lost their lives in the war.
72637	I came to Tokyo three years ago and have been living here ever since.
622183	I lived in Nagoya for over a month.
1553	Oh, my white pants! And they were new.
1555	When I left the train station, I saw a man.
505774	And nobody helped you?
2218081*	You're an angel.
1558	People from Madrid are weird.
1560	You're lucky because he didn't bite you.
1563*	Are they all the same?
2057650*	Thanks.
1235191*	Excuse me. Where are the eggs?
1567*	It's a surprise.
42034*	That is a good idea.
1570	It's a pity when somebody dies.
1573	Pull into shape after washing.
1183217	Do not open before the train stops.
1578*	They say love is blind.
1584	Seeing that you're not surprised, I think you must have known.
1586	This will be a good souvenir of my trip around the United States.
73822	It is difficult to keep up a conversation with someone who only says Yes and No.
1590	Do you speak Italian?
73968	I can't think with that noise, she said as she stared at the typewriter.
1592	It is said that "Hamlet" is the most interesting play ever written.
1594*	May I ask a question?
1230717	How do you feel? he asked.
1597*	It's impossible for me to explain it to you.
1600*	I would never have guessed that.
1602*	You'll forget about me someday.
1603*	That is rather unexpected.
1604*	I wonder how long it's going to take.
1605*	I can't live without a TV.
1606*	I couldn't have done it without you. Thank you.
1607*	Nothing is achieved without effort.
1608	Many people drift through life without a purpose.
2065609*	Life without love has no meaning.
1230706*	Let me know if I need to change.
1611	I think exams are ruining education.
1612*	We can't sleep because of the noise.
1613	Do you have a condom?
73381*	I can walk to school in ten minutes.
1617*	It took me more than two hours to translate a few pages of English.
910832	May I talk to Mr. Brown?
1621	Ah! is an interjection.
1622*	What do you want?
1627	Paris is the most beautiful city in the world.
1629	Hey, I may have no money, but I still have my pride.
1630*	I have a dream.
470201*	If you are by my side, I don't need anything else.
1643	What do you mean you don't know?!
282413	This is silly!
758904	My name's Jack.
1650*	I have to go shopping. I'll be back in an hour.
2765412*	I like it a lot.
899088*	Would you like to meet tomorrow?
1649*	How do you say that in Italian?
1651*	Is it far from here?
1653	Thanks, that's all.
1654*	Would you like to dance with me?
5804556	何時ですか？
370703*	Where are you from?
408293*	What's your name?
1658*	Italy is a very beautiful country.
321324*	It's not my fault.
1660*	I'd like to stay for one night.
1663*	Where are the showers?
1666*	I have lost my wallet.
436281*	I agree.
1668	Love is never wasted.
1671	He's very sexy.
27641*	Leave me alone.
1673	Pass me the salt, please. "Here you are."
1674*	There are too many things to do!
436243*	How old are you?
1678	Stop asking me for a drink! Go get it yourself.
1679*	Thanks to you I've lost my appetite.
1682	It has been so long since I last went to Disneyland with my family.
1683	My parents keep arguing about stupid things. It's so annoying!
1684*	If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.
1685	My friends always say I'm too calm, but my family always says I'm too annoying.
694423*	It's very hot today.
2249627*	Nobody showed up.
5077168*	I've never seen a red refrigerator.
2869993*	He didn't keep his promise.
1696	My eyes are an ocean in which my dreams are reflected.
1698*	Look at me when I talk to you!
1699*	What would the world be without women?
1700*	What if you gave a speech and nobody came?
1704*	How did you come up with this crazy idea?
1705*	I'm tired.
1706*	Who wants some hot chocolate?
1707	Speak more slowly, please!
462578*	The bill, please.
1711	And what are we going to do?
456425*	My head hurts.
1582614	Where can I make a phone call?
1714	I must admit that I snore.
2785958*	I'm going to church tonight.
1716*	How are you? Did you have a good trip?
1717*	I don't feel well.
2245027*	Call the cops.
925077*	It is too expensive.
1722*	We're getting out of here. The cops are coming.
1723*	Merry Christmas!
1724	It would be so cool if I could speak ten languages!
1727	It's a complete mess, and it's getting on my nerves.
1736*	He would be glad to hear that.
1739*	Don't ask what they think. Ask what they do.
1741	What changes the world is communication, not information.
1743	If you don't understand something, it's because you aren't aware of its context.
1748*	Why is life so full of suffering?
1753*	I would like to give him a present for his birthday.
1755	Do you have friends in Antigua?
1756	A cubic meter corresponds to 1000 liters.
1758*	I am married and have two children.
1759*	He plays the piano very well.
1760	I see it rarely.
1761*	I'd like to study in Paris.
1762*	You don't know who I am.
2765281*	Why don't you eat some vegetables?
1769	In a dictionary like this one there should be at least two sentences with "fridge".
1771*	The wind calmed down.
1783*	That was the best day of my life.
1784*	I don't understand German.
2111662*	I've decided.
2111800*	I promise.
1801*	I find foreign languages very interesting.
1802	I don't like learning irregular verbs.
1806	You make me dream.
1807	I'm beside myself with joy.
945288	寒いです。
2999617	のどが渇いた。
411667*	You're right.
2772519*	You did it on purpose, didn't you?
983814*	You mean you didn't tell him anything?
1824*	Could you call again later, please?
1825*	Who am I talking with?
1827	Smile now, cry later!
1838*	What made you change your mind?
1848	This baby penguin is too cute!
257113*	I need your help.
1860*	I don't want to go to school.
1861	It's over between us. Give me back my ring!
456237*	It's raining.
1864*	She's really smart, isn't she?
1874*	Tomorrow, I'm going to study at the library.
1894557*	It's too late.
1876*	I went to the zoo yesterday.
1879*	I make lunch every day.
1880*	I watched TV this morning.
1882*	I slept a little during lunch break because I was so tired.
3567588*	I live near the sea so I often go to the beach.
1890*	We went to London last year.
1891*	She doesn't want to talk about it.
436863*	I need more time.
1938	He was sick of being vilified all the time by people who were jealous of his ability.
1944	As the plane was approaching turbulence, the pilot asked the passengers aboard the plane to fasten their seat belts.
1625846	A small forest fire quickly spread and became a huge conflagration.
2768601*	I was late for school.
2027	I think I'm gonna sneeze. Give me a tissue.
2031	But you've never told me about this!
2036	Sorry, I don't think I'm gonna be able to.
2037*	You had plenty of time.
2040*	I'm almost done.
2042*	How many sandwiches are there left?
1053374*	It's pitch black outside.
2049*	What happened? There's water all over the apartment.
2050	During summer breaks, I ate dinner at midnight.
2054	Never try to die.
2066*	What are you talking about?
2763573*	I want some candy.
2068*	I knew that today would be fun.
2073*	When are we eating? I'm hungry!
386739*	I don't like school.
2075*	I have class tomorrow.
1050524	Thanks. "You're welcome."
2079*	Winter is my favorite season.
2083*	I learned a lot from you.
2096*	He disappeared without a trace.
2098	There cannot be progress without communication.
2097*	I can place the palms of my hands on the floor without bending my knees.
2105*	This place has a mysterious atmosphere.
2106*	I look forward to hearing your thoughts on this matter.
2107	So what if I am gay? Is it a crime?
1412473	My life is empty without him.
2110*	My mother bought two bottles of orange juice.
2111*	She was wearing a black hat.
2112*	We made pancakes for breakfast.
416370*	What did you have for lunch today?
2114*	I spent the whole afternoon chatting with friends.
2116*	Are you just going to stand there all day?
2119	He wishes to erase bad memories.
2121*	Your secret will be safe with me.
2122*	I don't want to hear any more of your complaining.
1396371*	You should've rejected such an unfair proposal.
2126	Mathematics is not just the memorization of formulas.
416368*	I didn't mean to give that impression.
2128	Yes! I won twice in a row!
30713*	Can you imagine what our life would be like without electricity?
2139*	His story was too ridiculous for anyone to believe.
757410*	I'm proud to be a part of this project.
2168*	Where are you?
416367*	Where are you going?
2260*	Take good care of yourself.
2299	Japan is full of beautiful cities. Kyoto and Nara, for instance.
413605	Where have you come from?
2319*	I don't know him.
2405*	I have to give back the book before Saturday.
2408	How can you have a laptop and not a cell phone?
2409*	I went to drink a beer with friends.
2413*	I ate caviar.
3738769*	What does it cost?
2220910*	Do you take plastic?
2420*	I'll bring you the bill immediately.
2425*	I'm sorry, I don't have change.
2429*	I want you to tell me the truth.
516611	The film began at 2.
2441*	I'm glad to see you back.
2444*	Tell me what happened.
1191061	Maria's hair is long.
5999*	I have to take medicine.
1191068*	Please don't take pictures here.
6005	Nara is a quiet and beautiful city.
251134*	My hobby is listening to music.
2078136*	No matter how much I think about it, I don't understand it.
6019*	I work even on Sunday.
6041*	How come you know so much about Japanese history?
6054*	He was born on July 28th, 1888.
328731*	It's not worth reading any further.
328730*	Why can't I sing like they can?
328729	If you keep on like this, you'll probably live to reach 120!
627947	This house and this land is mine!
328722*	My husband and daughter are fast asleep.
328702	However, the survivors are unaware of that fact.
328669	Then, those from a year ago won't be working any more!
1357284*	It's not a joke.
328219	We are now going to move to the crematorium so if Mr. Ogawa and you would enter the car ...
328207	The other day, a water quality inspection was carried out at our house. We had it done by a certain famous company's Environment Analysis Center or some such name.
328184	Yes. I'm pretty sure there are complimentary tickets that haven't been used somewhere.
2161*	I want an MP3 player!
2900196*	That'll cost thirty euros.
1665448	Good morning. You were a bit late today. "Mhm, I got a tad delayed."
328168	You're considerate, but don't you think you should work a little more at understanding the subtleties of the human mind?
328161	That was another impressive fall-flat-on-your-face ... Hey, you alright, Sophie? Can you stand?
328160	Even making an international phone call from a mobile, if it's Mobila then you can do it for 20 Yen per minute.
328152	This, appearing at first glance to be perfectly obvious, is actually very difficult.
651021	My brother died suddenly two years ago. Since then, my sister-in-law has valiantly kept the small jewelery store he left her going.
328141	There aren't many blokes that nice!
328140	Guys that handsome are few and far between.
328139	OK, this next! The combination of this and this might be way sexy!
328138	I started to think I had behaved foolishly.
328135	We're what they colloquially call a single mother family. I haven't seen my father's face.
328132	Situation report. "At present 4 in sight. At most probably 7. Holding small calibre arms."
328129	I'm sure it's tough taking part in the activities of two clubs, but good luck!
328128	Well, for the practical problem, in the midst of those rumours flying around I'm surprised they've been able to keep that club running.
328119	What, you having bread again? I see you're still leading the same thrilling dietary life as ever.
328118	No dirty jokes!
328105	Why don't you try out getting a new Windows Media Player skin and changing the player's look?
328104	By the way, Ren. Should I take your hand? Every year you wander off.
328102	Are you OK for drinking water in an emergency?
328090	We introduce you to the entire line up of songs that made it into The Best Ten.
328082	I sprang out of bed.
328078	Is this bread's best-by OK?
328074	Please beware of fraudulent emails.
4350125*	It could be a trap. Don't let your guard down.
2350892	めじりが裂けるほど目を見張る。
328063	Surpassing labour intensive, capital intensive, the age has shifted greatly to knowledge intensive.
328054*	I left part of the meal uneaten.
328051	He was a man who was the very picture of her ideals.
328049	During the orgy Megumi ran naked round the lawn.
4483901*	Next Monday and Tuesday are holidays.
328044	On the way we dropped in at the shops and bought foodstuffs. They say well prepared means no worries.
328043	It looks well prepared but you see there'll be a slip somewhere.
328042	Looks, brains, reflexes, rich family and, for good measure, vice president of the student committee - in other words he's 'perfect'.
328032	The question of worshipping at the Yasukuni Shrine is left to the independent judgement of Cabinet ministers.
328028	The object is that which in Japanese would generally be indicated with "ni" or "o".
328027	If your licence exceeds its validity period then you can be issued with a new licence in the following way.
328014	Thank goodness it didn't worsen. But please don't push yourself yet.
328012	Reproduction or appropriation of HTML, images and photographs from within this site is prohibited.
328008	Mom sighed, and tousled the hair of her son's head.
328007*	If I tell my mother, she'll worry, so I don't think I'll tell her.
327998	He plastered the wall with posters.
327995	Once the complaining starts, it never ends.
327994	When writing a sentence, generally you start with a capital letter and finish with a period (.), an exclamation mark (!), or a question mark (?).
327991	A little bird told me.
327981	I'm aware that you failed.
327969	She coaxed and wheedled her unwilling child into going to the dentist with her.
327966	She is good at speaking English, no less so than her brother.
327967	While she was screaming, she brandished the knife.
327966	She is good at speaking English, no less so than her brother.
327960	Her kimono and obi combination is smart, isn't it?
327957	His encounter with her is enriching his inner life.
327951	Alright! Listen up and listen well!
327948*	He is a handsome man.
327945	He's a drinker, so wine would probably be good for a souvenir.
327937	He threw up just as much as he had drunk.
327931	He had been a practitioner of Aikido for seven years.
327930	He shouted at the top of his voice, "This is a battle we cannot lose."
327929	He is probably angling for an invitation.
327927	His cooking is of the classic French style that he studied in France.
327919	It is no exaggeration to say that, as far as he was concerned, his wife was life itself to him.
327915	If you go around the Internet, using half-width katakana in various places, eventually you're going to end up pissing off a lot of people.
327913	Far from irritating my skin it was better than before I used it.
327908	Sheep and horses are set out to pasture, there are sheepdogs too. How about giving it a visit once?
327907	There are abilities that improve rapidly and those that improve slowly, aren't there?
327904	When her cat died, Diana went to pieces.
327903	Where in all Japan is there a school that has 'advance at the crawl' in P.E.?!
327898	It would be great if there was a Japanese edition.
327897	I passed the second level of the Japanese language examination.
327892	The 'gold' yearned for by the Japanese synchronized swimming world was not quite reached.
327888	Heat sesame oil in the pan on a medium flame, add the chicken meat, the garlic and fry, when the colour changes pour in the Chinese soup, add the Chinese cabbage and boil.
327884	You may not set up a roadside stall without prior notice.
327876	My contemporaries are, working, shopping, out and about, all the time.
327874	We've got several more of the same kind of articles.
327863	I read about how to make tempura in a book.
327861	The precision ratio is an index that indicates how many articles meet the search criteria out of all of the articles retrieved.
327860	Having scattered the enemy before me and triumphantly returned, this is how they would herald me.
327858	The thief has to be in here. I'm sure somewhere around is his stronghold so if we can just find that we've got him.
327855	Ow! Yukiko! That hurts! Quit hitting me with your fists!
327854	I thought the highest mountain in Tsuyama was Takiyama.
327852	Let's put together a pro-soccer team for Nagasaki!
327847	With all the kerfuffle since this morning I'd almost forgotten but we've still got the problem of the club members haven't we?
327842	Are the Chinese GDP figures a case of the boy crying wolf?
327822	No worries, I'm sure it will be a perfect fit for you!
327820	Two airplanes, one large and one small, were at rest in the hangar.
327813	What if you make yourself ill? An unbalanced diet leads to all kinds of sicknesses.
327808	I can't leave this to others. I'm no lifesaver but if I don't help her myself....
327772	Quiet! Everybody stay where they are, there will now be a possessions check.
327762	How is Null expressed as a regular expression?
327758	The government asked the SDF for a disaster relief deployment to Okinawa.
327750	Ending up with being called a "measles exporting country" by the rest of the world, something that you could take as insult or truth.
327747*	Sleep deprivation increases risk of heart attacks.
327735	The fireplace, lacking firewood, flames already starting to lose their vigour.
327727*	Will newspapers be able to survive?
327721	Dietary fibre is good for losing weight.
327705*	It's a very dangerous sport, where a slight mistake can lead to serious injury.
327704	Do a little work! You'll lose some weight.
1891462*	I've apologized, so get off my back.
265382	The president is a down-to-earth kind of man.
327672	The company president's welcome was so long that we were squeezed for time in the second half of the ceremony.
327671	Distrust of the Social Insurance Agency and the Ministry of Health, Labour and Welfare just keeps getting stronger.
327668	Actually this will be my fourth question.
327665	Although the unemployment problem can't be ignored, the environment problem is also very important.
327660*	Even I can't believe that.
327658*	You should know it.
327653	When I put 100 yen in and pressed the button to buy a coffee at the vending machine, four cans dropped down all at once!
327652	The bike screeched to a stop.
327651	When my home had an extension built I only had this room fitted with soundproofing and an internal lock.
327639	In order to return to our era, what should we do?
2744199*	I got an IV at the hospital.
327637*	I like the simplicity of her dress.
327635*	I dropped out of school when I was in the 7th grade.
327632*	I was kicked out of high school.
327630*	I waited until the last minute.
327620*	It wasn't as expensive as I expected.
327568	This wasn't here this morning ... looks like somebody's been fly tipping.
327558	At Kuroda Primary School we assemble at a prearranged time and go to school as a group.
327527	At present a very great number of people are seeking to participate and, depending on circumstances, up to a month ahead is fully booked.
327470	I slept drowsily with a good feeling for about 2 hours, while rocked by the train.
327432	I slithered down the muddy slope.
327373*	I was out all day.
327323	I don't intend to flatly reject suicide, but I really wish parents would not make their children join in with them.
327293*	Look at all the mangoes growing on that tree.
327275	If the distance you move the pen is too small, the speed too slow, it can't recognize the gestures well and you can't operate it in the way you thought.
327254*	I imagined my first kiss would be more romantic.
327236*	He suggested I go with him to the party.
327176	Done! Now I just have to set it to simmer so it doesn't boil before everybody comes.
327174	And so it seems she tried phoning but it's who was on the other end of that phone that was the problem.
327163	Let's step out for a short walk.
327156	By the way, my English is absolutely hopeless.
327132	Anyway what are you on about? Going around sleeveless in this cold.
327101	That girl loved climbing trees.
327100	I had half a mind to throw in the towel.
5955855	その運河は、150,000重量トンの船舶を収容することができます。
5955863	その建物は、日本で一番高いです。
5955865	テーマパークは先月閉鎖されました。
54729*	I'm sorry to have kept you waiting so long.
327009	He fell into the cesspool and got covered from head to toe.
326995	This lady is Masagokan's landlady, Yoko Someha.
326987	This shopping district is the only high street in the local area; it stocks the whole line-up from products for daily life to school study equipment.
326967	This jacket somehow doesn't go with this skirt.
326949	I'm looking for a coat. I'm short so the length should be on the short side, and as refined a design as possible.
326913	I've heard my grandma's stories so often that I'm heartily sick of them.
326871	A brewery we finance has made a new sweet sake and brought some to us asking us to try it.
326675	I have to pee. "Jonny, that's not the right thing to say. Say, 'Excuse me. I need to go to the toilet.'"
326673	Mr. Naruhodo's law firm is "The World's Leading Energy Law Firm".
326661	NB: Pictures may have become dead links.
456217*	It's hailing.
4486514*	I think I have tendinitis.
326624	I'm afraid my tonsils are swollen.
326604*	I fractured my arm.
326388	Both young and old, men and women, regularly get together at the local bathhouses.
326351	Workers can go on strike for higher wages, or for better working conditions.
326336	Work is a very important part of life in the United States.
326320	The snow on the road was in the way of the traffic.
1426415	No matter how hard the training was, she never cried.
326291	Bricks consist mostly of clay.
326200*	Trains are running on schedule.
326178*	The train's departure will be delayed.
326172*	You'll miss the train.
326150	The train was derailed and about thirty passengers were either killed or injured.
326137	There being no train, we had to walk all the way.
1428333*	When I opened the refrigerator, I noticed the meat had spoiled.
326060	I'd like a chilled one.
326048*	I am dying for a cold drink.
326046*	I would love a cold glass of beer.
326047	My teeth are sensitive to cold foods.
326045	That's a bit cold.
326019	The cones of the jack pine, for example, do not readily open to release their seeds until they have been subjected to great heat.
326016	For example, Osaka is the sister city of San Francisco.
325982	Tears trickled down her cheeks.
325962*	I can hear someone talking in the next room.
325950*	Let's ask the neighbors to look after the dog while we're away.
325918	Green is associated with grass.
1222708	A green carpet won't go well with these blue curtains.
325902*	Make sure you save the receipt.
325877*	You'll feel better.
325874*	Well done is better than well said.
325806*	It's starting to cool off.
325719	The parents want to give their son the best education.
325641	Hands up!
325608	Extremes meet.
325561*	Did you enjoy your trip?
325560*	It's fun to travel.
325554*	Are you ready for the trip?
1341404*	I'd like you to look after my dog while I'm gone.
325428*	I get dizzy spells when I stand up.
325426	Speak to me freely.
1097580	はっきり言うと、私は彼と一緒に働きたくありません。
354192	Frankly speaking, his speeches are always dull.
325217*	The price of eggs is going up.
2616330	He was hit by a falling rock and died instantly.
325183	Don't go too close to the pond so that you won't fall in.
325160	Thunder rolled with menacing crashes.
1076317*	Lightning hit that tower.
325145	I am going to work in Osaka next year.
325144*	I am taking French next year.
1355370*	I'm considering studying in the United States next year.
1224475*	I'll explain it in detail next week.
912313	I have to resit an English exam next week.
325086*	I'm planning to leave for Europe next week.
325073*	I will teach you how to fish next Sunday.
325067*	I'll see you a week from today.
325051*	Tests start next week.
325025*	I'll see you next month.
325009	She'll come even if you tell her not to.
325000*	Come and help us.
324988*	No one came except Mary.
324982	Naked boys were swimming in the river.
324958*	Is the bath clean?
324946*	Take anything you want.
324908	The point is that the mothers are too busy.
324888	The man, in short, is not to be trusted.
1849392*	Be careful.
324848	Please go ahead of me, because I have something to do.
324782	The ruling party has secured 50 seats as of 5 o'clock.
665819	It's none of your business!
324769*	Attend to your own business.
324760*	Don't eat too much.
324747*	In order to get a reservation, you must use her name.
324746*	Can I make a reservation?
34283*	I'd like to reconfirm my reservation.
324729*	I'd like to reconfirm my flight.
1009275	Please give me a spare blanket.
324715*	I need an extra pillow.
324708*	It's ahead of schedule.
324703*	There were more spectators than I had expected.
324701	This bad weather is more than I bargained for.
593102*	I take a walk with my dog in the evening.
3391821*	It looks like it's going to snow tonight.
324659*	The telephone rang while I was having supper.
3733132*	It's supper time.
39682*	Dinner is ready.
324645*	You must not go out after dinner.
594684*	What time is supper?
324628*	What time will dinner be served?
24573*	What time is dinner?
324626*	I don't want dinner.
39682*	Dinner is ready.
2245262*	Dinner's almost ready.
3733132*	It's supper time.
2789725*	Let's eat dinner.
3060760*	Supper is ready.
324597*	After he finished supper, he began to read the novel.
39682*	Dinner is ready.
324585*	It frosted last night.
1290682*	I slept soundly last night.
324560	The postman was bitten by that dog.
324556	Can you direct me to the post office?
1477098*	Where's the post office?
324543*	The post office is a few minutes' walk from here.
2883124*	The post office is just across from that store over there.
324530*	The mail has arrived.
324527	It looks like there's a pleasure boat.
1008830	The voices of children playing were carried over by the wind.
324503	Sometimes rich people look down on other people who do not have much money.
324497	Yumi has many books.
424879	Yumi speaks very good English.
324485	Yumi is leaving for Osaka the day after tomorrow.
324484	Yumi is one of my friends.
2662012*	She became famous.
324442*	Ghosts exist.
324436*	Bring along your friend.
324429*	I have been to the airport to see my friend off.
324418*	Do you have many friends?
324413*	She was taken care of by one of her friends.
324407*	Don't be unkind to your friends.
324397	As the friend, I gave an opinion.
324387*	All my friends encouraged me to try my best.
324385*	I am disappointed that my friend is not here.
324338*	I had plenty of time to talk to many friends.
324304	Courage is required of everyone.
593246*	She's a kind person.
324272	A blood transfusion is necessary.
324269*	You'd better stay on your guard.
5270103*	Oil floats on water.
324248*	The kettle is boiling.
324228*	The effects of the medicine were wearing off.
324225*	Are you allergic to any medicine?
1144168*	You should make good on your promises.
1369558*	Watching wild birds is a lot of fun.
324129	Wild animals roamed across the plains.
324126	A lot of reports came to the policeman that a wild monkey was found.
324101	Stray dogs tramped about my garden.
324097*	The stadium was packed with excited spectators.
324087*	Playing baseball is fun.
1274376*	It's fun to play baseball.
324084*	Let's play baseball.
324041*	The roads were very muddy since it had rained during the night.
1437120*	It's not good to stay up late at night.
1065053*	It's only when I can't sleep at night that the ticking of the clock bothers me.
1058983*	I'm used to staying up late.
324022	Stars were twinkling in the sky.
324019	The stars twinkling in the night sky looked like jewels.
323965*	I don't feel safe walking in that neighborhood at night.
323963	Champagne flowed all night.
323962*	It was night.
323939*	Is there a curfew?
323897*	The question is who will do it.
323867*	The problem is how to raise the funds.
551443*	No problem.
323844*	Is something wrong?
394894*	What's the matter?
323830*	I'd like to buy eye drops.
323809*	Turn off the alarm.
323808*	I'll set the alarm for seven o'clock.
323801*	I overslept because my alarm didn't go off.
1883049*	Shut your eyes.
323790*	Lie on the bench for a while with your eyes closed.
1082204	彼は目をつむったままベンチに座っていた。
1850243*	Wake up.
323775	I awoke to find everything had been a dream.
323775	I awoke to find everything had been a dream.
323770*	Keep your eyes open.
323766	I have mucus coming out of my eyes.
323750	There was not a man without tears in his eyes.
323745*	I got some sand in my eye.
323737*	Their eyes met.
417801*	My eyes hurt.
417801*	My eyes hurt.
323716	I awoke to find myself famous.
323715*	I awoke to find a bird in my room.
261977	I awoke to find myself completely refreshed.
323712*	I awoke to find myself lying on the floor.
323711	When we awoke, we were adrift on the open sea.
323704	When I awoke, it was snowing.
261977	I awoke to find myself completely refreshed.
323708	I awoke to find my suitcase gone.
323698*	My eyes smart.
323696*	My eyes feel irritated.
323695	I awoke to find it snowing.
323694*	My eyes feel gritty.
2769861*	My eyes itch.
1360862*	You don't need to suffer in silence.
1543624*	Shut up and listen.
2111896*	Don't talk.
323671*	You can save your breath. There is no use talking to him.
